Date,Euribor 1M,Euribor 3M,Euribor 6M,Euribor 1Y
2006-01-01,2.3884545454545454,2.650727272727272,2.5116818181818186,2.8334545454545457
2006-02-01,2.45865,2.72485,2.60035,2.91415
2006-03-01,2.633260869565217,2.8720434782608697,2.722608695652174,3.1053478260869567
2006-04-01,2.648944444444444,2.956055555555556,2.793777777777777,3.221444444444444
2006-05-01,2.6925909090909097,3.058181818181819,2.888999999999999,3.307818181818181
2006-06-01,2.869090909090909,3.1580454545454546,2.985681818181817,3.4005454545454543
2006-07-01,2.9389047619047624,3.287523809523809,3.102190476190476,3.538619047619048
2006-08-01,3.0941304347826084,3.409565217391304,3.226478260869565,3.615130434782608
2006-09-01,3.1572380952380947,3.5274761904761904,3.335380952380953,3.7153333333333327
2006-10-01,3.350136363636364,3.644590909090908,3.502,3.799181818181818
2006-11-01,3.42140909090909,3.728136363636364,3.597181818181818,3.863681818181817
2006-12-01,3.6399999999999992,3.7894210526315786,3.684210526315789,3.920894736842106
2007-01-01,3.615909090909092,3.8896818181818182,3.7518636363636375,4.06440909090909
2007-02-01,3.651100000000001,3.94435,3.8182,4.0935500000000005
2007-03-01,3.843909090909092,3.9963181818181823,3.890909090909092,4.105545454545453
2007-04-01,3.859,4.097368421052633,3.975263157894736,4.252684210526317
2007-05-01,3.9193636363636375,4.196590909090909,4.071363636363636,4.373136363636363
2007-06-01,4.098238095238095,4.282952380952381,4.147761904761905,4.505476190476192
2007-07-01,4.105,4.358545454545455,4.216181818181819,4.563818181818182
2007-08-01,4.30808695652174,4.593782608695652,4.543608695652173,4.666347826086957
2007-09-01,4.4339,4.75135,4.7417,4.724499999999999
2007-10-01,4.2355217391304345,4.663391304347826,4.687391304347826,4.646652173913044
2007-11-01,4.215954545454545,4.629727272727273,4.638545454545454,4.607227272727273
2007-12-01,4.711368421052632,4.819368421052632,4.848368421052632,4.7929473684210535
2008-01-01,4.197318181818182,4.501363636363636,4.481545454545453,4.498045454545456
2008-02-01,4.182095238095239,4.35647619047619,4.362095238095238,4.348857142857144
2008-03-01,4.304631578947369,4.593,4.596368421052632,4.5900526315789465
2008-04-01,4.369090909090908,4.795363636363636,4.7835,4.819909090909091
2008-05-01,4.387380952380953,4.897476190476191,4.857380952380953,4.993809523809524
2008-06-01,4.472380952380953,5.088333333333333,4.940523809523809,5.360809523809524
2008-07-01,4.471565217391305,5.14817391304348,4.960999999999999,5.393217391304348
2008-08-01,4.4874761904761895,5.160190476190476,4.965190476190476,5.323047619047618
2008-09-01,4.659909090909091,5.218954545454546,5.019181818181817,5.383909090909091
2008-10-01,4.8312608695652175,5.17808695652174,5.11308695652174,5.247826086956521
2008-11-01,3.84325,4.2947500000000005,4.238299999999999,4.3504
2008-12-01,2.992857142857143,3.365333333333334,3.292619047619048,3.4519999999999995
2009-01-01,2.141809523809523,2.538857142857143,2.4565238095238096,2.621619047619048
2009-02-01,1.6282500000000002,2.03405,1.94305,2.1354
2009-03-01,1.2690909090909093,1.7745454545454544,1.6354545454545455,1.9089090909090909
2009-04-01,1.01205,1.6083000000000005,1.4223,1.771
2009-05-01,0.8844000000000001,1.48025,1.2817,1.6444499999999995
2009-06-01,0.9134090909090912,1.4356363636363636,1.2279090909090908,1.6104545454545454
2009-07-01,0.6097391304347826,1.212869565217391,0.9749565217391306,1.4119565217391306
2009-08-01,0.507952380952381,1.1154285714285717,0.8604761904761905,1.334285714285714
2009-09-01,0.4551363636363636,1.0422727272727272,0.7720909090909093,1.2610454545454546
2009-10-01,0.4297272727272727,1.0166818181818182,0.7375,1.2426363636363638
2009-11-01,0.4352380952380952,0.9931428571428572,0.7161904761904762,1.2305714285714289
2009-12-01,0.4779545454545454,0.9955909090909087,0.7120454545454544,1.2424090909090908
2010-01-01,0.4369999999999999,0.97725,0.67975,1.23215
2010-02-01,0.4214499999999999,0.9645499999999998,0.6617000000000001,1.2252
2010-03-01,0.4061739130434783,0.9524347826086956,0.6449565217391303,1.2151304347826084
2010-04-01,0.40465,0.9551999999999998,0.6447,1.2251500000000002
2010-05-01,0.423,0.9822380952380952,0.6865238095238095,1.2493333333333336
2010-06-01,0.4463636363636363,1.0117727272727275,0.727590909090909,1.281318181818182
2010-07-01,0.583318181818182,1.1042272727272726,0.8488181818181819,1.3733636363636366
2010-08-01,0.6399545454545454,1.1471818181818183,0.8955000000000001,1.4210454545454547
2010-09-01,0.6181363636363636,1.137272727272727,0.8804999999999997,1.4204545454545454
2010-10-01,0.7842380952380952,1.2239047619047618,0.9976666666666668,1.4953809523809525
2010-11-01,0.8338636363636364,1.2690454545454548,1.0420454545454545,1.5404999999999995
2010-12-01,0.8106521739130436,1.2506956521739128,1.021695652173913,1.5260869565217392
2011-01-01,0.7928095238095239,1.2535714285714286,1.017238095238095,1.549952380952381
2011-02-01,0.89365,1.35225,1.08675,1.714
2011-03-01,0.9031304347826088,1.4832608695652172,1.175521739130435,1.9240869565217391
2011-04-01,1.1271052631578946,1.6213684210526318,1.3212105263157898,2.085578947368421
2011-05-01,1.2433636363636362,1.706818181818182,1.4250909090909092,2.147136363636363
2011-06-01,1.279,1.749272727272727,1.4885909090909089,2.144136363636364
2011-07-01,1.4218095238095236,1.8182380952380952,1.5976190476190475,2.1826666666666665
2011-08-01,1.3734347826086957,1.754782608695652,1.5520869565217394,2.096913043478261
2011-09-01,1.3471818181818185,1.7359545454545453,1.5364545454545455,2.066909090909092
2011-10-01,1.3634761904761905,1.7760952380952382,1.575857142857143,2.1101428571428573
2011-11-01,1.2265909090909093,1.7064545454545454,1.484681818181818,2.0439090909090907
2011-12-01,1.1429523809523812,1.6707142857142858,1.4260952380952383,2.0035238095238093
2012-01-01,0.8361818181818184,1.504727272727273,1.222227272727273,1.836636363636364
2012-02-01,0.626,1.3453809523809526,1.0482857142857145,1.6783333333333332
2012-03-01,0.467409090909091,1.163681818181818,0.8584545454545456,1.4985
2012-04-01,0.4088421052631579,1.0402105263157897,0.7443157894736843,1.3678421052631582
2012-05-01,0.3938181818181818,0.9703636363636364,0.6849090909090908,1.2660454545454545
2012-06-01,0.379952380952381,0.9345238095238092,0.6588571428571429,1.2190476190476192
2012-07-01,0.2194090909090908,0.7794090909090908,0.4970454545454545,1.060818181818182
2012-08-01,0.1315652173913043,0.6060869565217392,0.332391304347826,0.876608695652174
2012-09-01,0.11875,0.4838999999999999,0.2463,0.7398499999999999
2012-10-01,0.1112173913043478,0.4118260869565217,0.2079130434782609,0.6500869565217393
2012-11-01,0.1085,0.3604090909090909,0.1919999999999999,0.5879090909090908
2012-12-01,0.1106111111111111,0.3238333333333333,0.1854736842105263,0.5492777777777778
2013-01-01,0.1125454545454545,0.3442727272727273,0.2049090909090909,0.5753181818181818
2013-02-01,0.12025,0.36185,0.22335,0.5941500000000001
2013-03-01,0.1179499999999999,0.3288,0.20605,0.5449500000000002
2013-04-01,0.1179047619047618,0.3242857142857143,0.2089047619047619,0.5284285714285715
2013-05-01,0.1123181818181818,0.2994545454545455,0.2012272727272727,0.4837727272727272
2013-06-01,0.12055,0.3208499999999999,0.21025,0.50705
2013-07-01,0.125,0.3358260869565218,0.2214347826086957,0.5253913043478261
2013-08-01,0.1278181818181818,0.3422272727272727,0.2258636363636363,0.5423181818181819
2013-09-01,0.1281428571428571,0.340047619047619,0.2232380952380952,0.5434285714285715
2013-10-01,0.1282608695652174,0.3415217391304348,0.2258260869565217,0.5409565217391306
2013-11-01,0.132047619047619,0.3269047619047618,0.2233809523809523,0.5063809523809524
2013-12-01,0.21435,0.37055,0.2734999999999999,0.5424999999999999
2014-01-01,0.2241818181818182,0.3960000000000001,0.2920454545454545,0.5621363636363635
2014-02-01,0.2239,0.3866000000000001,0.2880999999999999,0.5489999999999999
2014-03-01,0.2318095238095238,0.4069047619047619,0.3053333333333333,0.5772857142857142
2014-04-01,0.25255,0.4299,0.3297499999999999,0.60395
2014-05-01,0.2592380952380952,0.4168571428571428,0.3245714285714285,0.5922857142857142
2014-06-01,0.1529047619047619,0.3331904761904762,0.2414285714285714,0.5127142857142857
2014-07-01,0.0958260869565217,0.3046086956521739,0.2050434782608695,0.487521739130435
2014-08-01,0.0854761904761904,0.2917619047619048,0.1915714285714285,0.4690952380952381
2014-09-01,0.0176818181818181,0.1996818181818181,0.0970909090909091,0.3623181818181817
2014-10-01,0.0079130434782608,0.1836521739130434,0.0826086956521739,0.3376086956521739
2014-11-01,0.0097499999999999,0.18175,0.0809,0.3347
2014-12-01,0.023047619047619,0.1764761904761904,0.0809047619047619,0.3285238095238095
2015-01-01,0.0051428571428571,0.1522857142857143,0.0626666666666666,0.2981904761904762
2015-02-01,0.0004,0.1258499999999999,0.0482,0.25505
2015-03-01,-0.0103181818181818,0.0968636363636363,0.0271818181818181,0.2123636363636364
2015-04-01,-0.02895,0.0728,0.0046999999999999,0.18045
2015-05-01,-0.0494210526315789,0.0570526315789473,-0.0103684210526315,0.1654210526315789
2015-06-01,-0.0633636363636363,0.0491818181818181,-0.0139090909090909,0.1630454545454545
2015-07-01,-0.0713043478260869,0.0487391304347826,-0.0187391304347826,0.1672608695652173
2015-08-01,-0.0878571428571428,0.0439047619047619,-0.0276666666666666,0.1612857142857143
2015-09-01,-0.1051818181818181,0.0352727272727272,-0.0370454545454545,0.153590909090909
2015-10-01,-0.1156363636363636,0.0196818181818181,-0.0535909090909091,0.1279090909090909
2015-11-01,-0.1403333333333333,-0.0154285714285714,-0.0876190476190476,0.0789047619047619
2015-12-01,-0.1894999999999999,-0.0397727272727272,-0.1263181818181818,0.0589090909090909
2016-01-01,-0.2226499999999999,-0.0607999999999999,-0.1461499999999999,0.04235
2016-02-01,-0.2460476190476191,-0.1152857142857143,-0.1835714285714285,-0.0078571428571428
2016-03-01,-0.3075714285714286,-0.1335714285714286,-0.2285238095238095,-0.0123809523809523
2016-04-01,-0.3411904761904761,-0.1379523809523809,-0.2491904761904762,-0.0097619047619047
2016-05-01,-0.348,-0.1444999999999999,-0.2571818181818182,-0.012590909090909
2016-06-01,-0.3559090909090907,-0.1624090909090909,-0.2679090909090909,-0.028
2016-07-01,-0.3688095238095239,-0.1881904761904761,-0.2945238095238094,-0.056047619047619
2016-08-01,-0.369695652173913,-0.1886521739130435,-0.2982173913043479,-0.0483043478260869
2016-09-01,-0.3713636363636364,-0.1991363636363636,-0.3016363636363636,-0.0570909090909091
2016-10-01,-0.3714285714285715,-0.2070952380952381,-0.309,-0.0687619047619047
2016-11-01,-0.3727727272727273,-0.2148181818181818,-0.3126818181818181,-0.0740454545454545
2016-12-01,-0.3703809523809523,-0.2179047619047619,-0.3157619047619047,-0.0804285714285714
2017-01-01,-0.3712727272727272,-0.2355454545454545,-0.3255454545454546,-0.0945
2017-02-01,-0.3718000000000001,-0.2405499999999999,-0.3285999999999999,-0.1059
2017-03-01,-0.3723913043478261,-0.2407391304347826,-0.3293478260869565,-0.1096086956521739
2017-04-01,-0.3724444444444445,-0.2455,-0.3303888888888888,-0.119
2017-05-01,-0.3731818181818181,-0.2508636363636363,-0.3294545454545454,-0.1272272727272727
2017-06-01,-0.3728181818181818,-0.2668181818181817,-0.3300000000000001,-0.149090909090909
2017-07-01,-0.3728095238095238,-0.2726190476190477,-0.3304285714285714,-0.1540952380952381
2017-08-01,-0.3719565217391306,-0.2716521739130434,-0.3290869565217391,-0.1563478260869565
2017-09-01,-0.3720952380952381,-0.2726190476190476,-0.3293809523809523,-0.1682857142857142
2017-10-01,-0.3723181818181818,-0.2739090909090909,-0.3295454545454546,-0.1797727272727272
2017-11-01,-0.3716363636363636,-0.2742727272727273,-0.3289999999999999,-0.1889545454545454
2017-12-01,-0.3687368421052632,-0.2713684210526315,-0.3278947368421052,-0.1897368421052631
2018-01-01,-0.3688181818181817,-0.2741818181818182,-0.3284545454545455,-0.1886818181818181
2018-02-01,-0.3696,-0.2749,-0.3285,-0.1912499999999999
2018-03-01,-0.3706190476190477,-0.2713333333333332,-0.3279047619047618,-0.191
2018-04-01,-0.37165,-0.2702,-0.32845,-0.1897
2018-05-01,-0.3708181818181819,-0.2699999999999999,-0.3252272727272727,-0.188
2018-06-01,-0.3703333333333334,-0.2685238095238094,-0.3220476190476191,-0.1814761904761904
2018-07-01,-0.369681818181818,-0.2691818181818182,-0.3207272727272727,-0.1795454545454544
2018-08-01,-0.3695652173913043,-0.2667826086956522,-0.319,-0.1692608695652173
2018-09-01,-0.37095,-0.26825,-0.3188499999999999,-0.1662
2018-10-01,-0.369695652173913,-0.2640434782608696,-0.317695652173913,-0.1538260869565217
2018-11-01,-0.3688181818181817,-0.2565909090909092,-0.3163636363636362,-0.1474090909090908
2018-12-01,-0.3670526315789473,-0.2408421052631578,-0.3118947368421051,-0.1286842105263157
2019-01-01,-0.3663636363636364,-0.2363636363636363,-0.3079999999999999,-0.1158636363636363
2019-02-01,-0.3677,-0.2318,-0.3084499999999999,-0.1084
2019-03-01,-0.3674761904761905,-0.2302380952380952,-0.3091904761904762,-0.1087619047619048
2019-04-01,-0.3672500000000001,-0.23075,-0.31045,-0.1122
2019-05-01,-0.369,-0.2373636363636364,-0.3118636363636363,-0.1339090909090909
2019-06-01,-0.3848,-0.2789999999999999,-0.3289,-0.19025
2019-07-01,-0.3951304347826087,-0.3473913043478261,-0.3648695652173913,-0.2833043478260869
2019-08-01,-0.409590909090909,-0.4049545454545455,-0.4076818181818182,-0.3562727272727272
2019-09-01,-0.4482380952380952,-0.3938571428571429,-0.4175714285714286,-0.3391428571428572
2019-10-01,-0.4554782608695651,-0.3615652173913043,-0.4128695652173913,-0.3042173913043478
2019-11-01,-0.4499999999999999,-0.3373809523809523,-0.4012857142857142,-0.271952380952381
2019-12-01,-0.4528999999999999,-0.33555,-0.3946999999999999,-0.2614
2020-01-01,-0.4568636363636364,-0.3300909090909091,-0.3911363636363636,-0.2534090909090909
2020-02-01,-0.4731499999999999,-0.3552499999999999,-0.40885,-0.2880999999999999
2020-03-01,-0.4776818181818182,-0.3648636363636364,-0.4166363636363636,-0.2656363636363636
2020-04-01,-0.4281000000000001,-0.1919999999999999,-0.25405,-0.1082
2020-05-01,-0.4643499999999999,-0.14305,-0.27195,-0.08135
2020-06-01,-0.4928636363636363,-0.2226818181818181,-0.3760000000000001,-0.1474545454545454
2020-07-01,-0.5088260869565218,-0.3461304347826087,-0.4441304347826086,-0.2788695652173913
2020-08-01,-0.5173333333333334,-0.4329047619047619,-0.4797142857142858,-0.3589047619047618
2020-09-01,-0.5217272727272728,-0.4626363636363637,-0.4913636363636363,-0.414590909090909
2020-10-01,-0.5384545454545454,-0.4940000000000001,-0.5091363636363636,-0.4659999999999999
2020-11-01,-0.5414285714285714,-0.509,-0.5208571428571429,-0.4806190476190476
2020-12-01,-0.5606818181818182,-0.5186363636363636,-0.5380909090909092,-0.4966363636363635
2021-01-01,-0.56205,-0.5285000000000002,-0.54715,-0.5047
2021-02-01,-0.5534000000000001,-0.5205000000000001,-0.5410999999999999,-0.50085
2021-03-01,-0.5534347826086956,-0.516,-0.5390869565217392,-0.4867391304347826
2021-04-01,-0.5550499999999999,-0.5158000000000001,-0.5381500000000001,-0.4834999999999999
2021-05-01,-0.5579047619047619,-0.513,-0.5400952380952381,-0.4806190476190477
2021-06-01,-0.5545909090909091,-0.5149545454545454,-0.5429090909090909,-0.4838636363636363
2021-07-01,-0.5562272727272728,-0.5159545454545454,-0.544818181818182,-0.4907272727272727
2021-08-01,-0.5601363636363637,-0.5273636363636364,-0.5475909090909092,-0.4982272727272727
2021-09-01,-0.5576363636363637,-0.5224090909090909,-0.5450454545454545,-0.4923181818181818
2021-10-01,-0.5604285714285714,-0.5272380952380951,-0.5498095238095239,-0.4767619047619048
2021-11-01,-0.5653636363636364,-0.5340000000000001,-0.5673636363636363,-0.487
2021-12-01,-0.5962608695652174,-0.544608695652174,-0.5819565217391303,-0.5019565217391303
2022-01-01,-0.5648571428571427,-0.5273333333333333,-0.5601428571428572,-0.4766666666666665
2022-02-01,-0.5530500000000501,-0.4761500000005,-0.53150000005,-0.3352500000005
2022-03-01,-0.5444347826086956,-0.4176521739130435,-0.4954347826086958,-0.2373913043478261
2022-04-01,-0.5373157894736843,-0.3108947368421052,-0.4478947368421052,0.0130526315789473
2022-05-01,-0.5457272727272726,-0.1436363636363636,-0.3857272727272727,0.286590909090909
2022-06-01,-0.5247272727272727,0.1616818181818181,-0.2392272727272727,0.8522272727272728
2022-07-01,-0.3064285714285715,0.4664761904761905,0.0366190476190476,0.9915238095238096
2022-08-01,0.0224347826086956,0.8370434782608697,0.3947391304347826,1.2494782608695651
2022-09-01,0.5738636363636364,1.596090909090909,1.0108636363636363,2.2330000000000005
2022-10-01,0.915190476190476,1.9973809523809525,1.4276666666666664,2.629380952380952
2022-11-01,1.4231363636363634,2.321227272727273,1.8252272727272725,2.828318181818182
2022-12-01,1.7243333333333335,2.5603333333333333,2.06347619047619,3.0181428571428577
2023-01-01,1.9811818181818184,2.857863636363636,2.344863636363636,3.337045454545453
2023-02-01,2.3688,3.13535,2.64035,3.5336000000000007
2023-03-01,2.709913043478261,3.267434782608696,2.910565217391305,3.6466086956521737
2023-04-01,2.9536,3.4979500000000003,3.167,3.7437
2023-05-01,3.147391304347825,3.679,3.366434782608696,3.861782608695652
2023-06-01,3.342545454545456,3.825272727272728,3.5358636363636364,4.007272727272727
2023-07-01,3.4690000000000003,3.9424761904761914,3.671809523809524,4.14904761904762
2023-08-01,3.62704347826087,3.9444782608695657,3.780304347826087,4.07295652173913
2023-09-01,3.757714285714285,4.030333333333333,3.8800476190476174,4.149190476190476
2023-10-01,3.860954545454545,4.114818181818182,3.9676363636363634,4.159999999999999
2023-11-01,3.840681818181818,4.064681818181817,3.9716363636363634,4.02209090909091
2023-12-01,3.859380952380953,3.924285714285715,3.933095238095238,3.669857142857144
2024-01-01,3.8689999999999993,3.8916818181818185,3.925272727272728,3.609227272727273
2024-02-01,3.868476190476191,3.9005238095238095,3.923190476190476,3.6705238095238095
2024-03-01,3.8520952380952393,3.893238095238095,3.922380952380952,3.716238095238095
2024-04-01,3.8517272727272727,3.839318181818182,3.886363636363637,3.702454545454545
2024-05-01,3.817739130434783,3.7878695652173913,3.813652173913043,3.682130434782608
2024-06-01,3.6347,3.7149,3.7245,3.6496
2024-07-01,3.617521739130435,3.6435652173913033,3.684826086956521,3.525913043478261
2024-08-01,3.596727272727273,3.424909090909092,3.5475909090909084,3.166136363636363
2024-09-01,3.438095238095237,3.257809523809524,3.4337142857142844,2.9360476190476192
2024-10-01,3.2054782608695653,3.001608695652174,3.166608695652173,2.6913043478260867
2024-11-01,3.066428571428572,2.78752380952381,3.006761904761904,2.5055714285714283
2024-12-01,2.886045454545455,2.630318181818182,2.816090909090909,2.438318181818182
2025-01-01,2.7951304347826085,2.612130434782609,2.703130434782609,2.522130434782609
2025-02-01,2.60575,2.4596,2.52495,2.40695
2025-03-01,2.401,2.3853809523809524,2.442428571428572,2.3983809523809523
2025-04-01,2.2386818181818176,2.201,2.248181818181818,2.1423636363636365
