,Date,Euribor 1M,Euribor 3M,Euribor 6M,Euribor 1Y
0,2020-01-01,-0.4568636363636364,-0.3300909090909091,-0.3911363636363636,-0.2534090909090909
1,2020-02-01,-0.4731499999999999,-0.3552499999999999,-0.40885,-0.2880999999999999
2,2020-03-01,-0.4776818181818182,-0.3648636363636364,-0.4166363636363636,-0.2656363636363636
3,2020-04-01,-0.4281000000000001,-0.1919999999999999,-0.25405,-0.1082
4,2020-05-01,-0.4643499999999999,-0.14305,-0.27195,-0.08135
5,2020-06-01,-0.4928636363636363,-0.2226818181818181,-0.3760000000000001,-0.1474545454545454
6,2020-07-01,-0.5088260869565218,-0.3461304347826087,-0.4441304347826086,-0.2788695652173913
7,2020-08-01,-0.5173333333333334,-0.4329047619047619,-0.4797142857142858,-0.3589047619047618
8,2020-09-01,-0.5217272727272728,-0.4626363636363637,-0.4913636363636363,-0.414590909090909
9,2020-10-01,-0.5384545454545454,-0.4940000000000001,-0.5091363636363636,-0.4659999999999999
10,2020-11-01,-0.5414285714285714,-0.509,-0.5208571428571429,-0.4806190476190476
11,2020-12-01,-0.5606818181818182,-0.5186363636363636,-0.5380909090909092,-0.4966363636363635
12,2021-01-01,-0.56205,-0.5285000000000002,-0.54715,-0.5047
13,2021-02-01,-0.5534000000000001,-0.5205000000000001,-0.5410999999999999,-0.50085
14,2021-03-01,-0.5534347826086956,-0.516,-0.5390869565217392,-0.4867391304347826
15,2021-04-01,-0.5550499999999999,-0.5158000000000001,-0.5381500000000001,-0.4834999999999999
16,2021-05-01,-0.5579047619047619,-0.513,-0.5400952380952381,-0.4806190476190477
17,2021-06-01,-0.5545909090909091,-0.5149545454545454,-0.5429090909090909,-0.4838636363636363
18,2021-07-01,-0.5562272727272728,-0.5159545454545454,-0.544818181818182,-0.4907272727272727
19,2021-08-01,-0.5601363636363637,-0.5273636363636364,-0.5475909090909092,-0.4982272727272727
20,2021-09-01,-0.5576363636363637,-0.5224090909090909,-0.5450454545454545,-0.4923181818181818
21,2021-10-01,-0.5604285714285714,-0.5272380952380951,-0.5498095238095239,-0.4767619047619048
22,2021-11-01,-0.5653636363636364,-0.5340000000000001,-0.5673636363636363,-0.487
23,2021-12-01,-0.5962608695652174,-0.544608695652174,-0.5819565217391303,-0.5019565217391303
24,2022-01-01,-0.5648571428571427,-0.5273333333333333,-0.5601428571428572,-0.4766666666666665
25,2022-02-01,-0.5530500000000501,-0.4761500000005,-0.53150000005,-0.3352500000005
26,2022-03-01,-0.5444347826086956,-0.4176521739130435,-0.4954347826086958,-0.2373913043478261
27,2022-04-01,-0.5373157894736843,-0.3108947368421052,-0.4478947368421052,0.0130526315789473
28,2022-05-01,-0.5457272727272726,-0.1436363636363636,-0.3857272727272727,0.286590909090909
29,2022-06-01,-0.5247272727272727,0.1616818181818181,-0.2392272727272727,0.8522272727272728
30,2022-07-01,-0.3064285714285715,0.4664761904761905,0.0366190476190476,0.9915238095238096
31,2022-08-01,0.0224347826086956,0.8370434782608697,0.3947391304347826,1.2494782608695651
32,2022-09-01,0.5738636363636364,1.596090909090909,1.0108636363636363,2.2330000000000005
33,2022-10-01,0.915190476190476,1.9973809523809525,1.4276666666666664,2.629380952380952
34,2022-11-01,1.4231363636363634,2.321227272727273,1.8252272727272725,2.828318181818182
35,2022-12-01,1.7243333333333335,2.5603333333333333,2.06347619047619,3.0181428571428577
36,2023-01-01,1.9811818181818184,2.857863636363636,2.344863636363636,3.337045454545453
37,2023-02-01,2.3688,3.13535,2.64035,3.5336000000000007
38,2023-03-01,2.709913043478261,3.267434782608696,2.910565217391305,3.6466086956521737
39,2023-04-01,2.9536,3.4979500000000003,3.167,3.7437
40,2023-05-01,3.147391304347825,3.679,3.366434782608696,3.861782608695652
41,2023-06-01,3.342545454545456,3.825272727272728,3.5358636363636364,4.007272727272727
42,2023-07-01,3.4690000000000003,3.9424761904761914,3.671809523809524,4.14904761904762
43,2023-08-01,3.62704347826087,3.9444782608695657,3.780304347826087,4.07295652173913
44,2023-09-01,3.757714285714285,4.030333333333333,3.8800476190476174,4.149190476190476
45,2023-10-01,3.860954545454545,4.114818181818182,3.9676363636363634,4.159999999999999
46,2023-11-01,3.840681818181818,4.064681818181817,3.9716363636363634,4.02209090909091
47,2023-12-01,3.859380952380953,3.924285714285715,3.933095238095238,3.669857142857144
48,2024-01-01,3.8689999999999993,3.8916818181818185,3.925272727272728,3.609227272727273
49,2024-02-01,3.868476190476191,3.9005238095238095,3.923190476190476,3.6705238095238095
50,2024-03-01,3.8520952380952393,3.893238095238095,3.922380952380952,3.716238095238095
51,2024-04-01,3.8517272727272727,3.839318181818182,3.886363636363637,3.702454545454545
52,2024-05-01,3.817739130434783,3.7878695652173913,3.813652173913043,3.682130434782608
53,2024-06-01,3.6347,3.7149,3.7245,3.6496
54,2024-07-01,3.617521739130435,3.6435652173913033,3.684826086956521,3.525913043478261
55,2024-08-01,3.596727272727273,3.424909090909092,3.5475909090909084,3.166136363636363
56,2024-09-01,3.438095238095237,3.257809523809524,3.4337142857142844,2.9360476190476192
57,2024-10-01,3.2054782608695653,3.001608695652174,3.166608695652173,2.6913043478260867
58,2024-11-01,3.066428571428572,2.78752380952381,3.006761904761904,2.5055714285714283
59,2024-12-01,2.886045454545455,2.630318181818182,2.816090909090909,2.438318181818182
60,2025-01-01,2.7951304347826085,2.612130434782609,2.703130434782609,2.522130434782609
61,2025-02-01,2.60575,2.4596,2.52495,2.40695
62,2025-03-01,2.401,2.3853809523809524,2.442428571428572,2.3983809523809523
63,2025-04-01,2.2386818181818176,2.201,2.248181818181818,2.1423636363636365
64,2025-05-01,2.0969090909090915,2.1168636363636364,2.0912727272727274,2.080363636363636
65,2025-06-01,1.9285238095238093,2.0496666666666665,1.983619047619048,2.0809047619047623
