,Date,Rating,Sentiment
0,2021-01-04,50.0,neutral
1,2021-01-05,50.0,neutral
2,2021-01-06,50.0,neutral
3,2021-01-07,50.0,neutral
4,2021-01-08,50.0,neutral
5,2021-01-11,50.0,neutral
6,2021-01-12,50.0,neutral
7,2021-01-13,50.0,neutral
8,2021-01-14,50.0,neutral
9,2021-01-15,50.0,neutral
10,2021-01-19,50.0,neutral
11,2021-01-20,50.0,neutral
12,2021-01-21,50.0,neutral
13,2021-01-22,68.9,greed
14,2021-01-25,69.7,greed
15,2021-01-26,67.4,greed
16,2021-01-27,28.200000000000003,fear
17,2021-01-28,52.900000000000006,neutral
18,2021-01-29,40.966666666666676,fear
19,2021-02-01,43.400000000000006,fear
20,2021-02-02,60.46666666666667,greed
21,2021-02-03,59.199999999999996,greed
22,2021-02-04,61.06666666666667,greed
23,2021-02-05,68.0,greed
24,2021-02-08,72.86666666666667,greed
25,2021-02-09,75.4,extreme greed
26,2021-02-10,75.26666666666667,extreme greed
27,2021-02-11,76.0,extreme greed
28,2021-02-12,77.66666666666667,extreme greed
29,2021-02-16,73.93333333333334,greed
30,2021-02-17,70.2,greed
31,2021-02-18,62.53333333333334,greed
32,2021-02-19,56.239999999999995,greed
33,2021-02-22,52.48,neutral
34,2021-02-23,50.56,neutral
35,2021-02-24,63.8,greed
36,2021-02-25,46.160000000000004,neutral
37,2021-02-26,53.52,neutral
38,2021-03-01,58.52,greed
39,2021-03-02,50.32000000000001,neutral
40,2021-03-03,43.84,fear
41,2021-03-04,37.8,fear
42,2021-03-05,41.52,fear
43,2021-03-08,39.08,fear
44,2021-03-09,43.36,fear
45,2021-03-10,45.56,neutral
46,2021-03-11,50.480000000000004,neutral
47,2021-03-12,53.720000000000006,neutral
48,2021-03-15,56.52,greed
49,2021-03-16,54.8,neutral
50,2021-03-17,57.86666666666667,greed
51,2021-03-18,52.333333333333336,neutral
52,2021-03-19,50.833333333333336,neutral
53,2021-03-22,50.699999999999996,neutral
54,2021-03-23,41.800000000000004,fear
55,2021-03-24,37.66666666666667,fear
56,2021-03-25,37.833333333333336,fear
57,2021-03-26,37.56666666666667,fear
58,2021-03-29,39.56666666666667,fear
59,2021-03-30,42.03333333333334,fear
60,2021-03-31,44.56666666666667,fear
61,2021-04-01,46.400000000000006,neutral
62,2021-04-05,54.56666666666667,neutral
63,2021-04-06,53.5,neutral
64,2021-04-07,52.53333333333333,neutral
65,2021-04-08,48.099999999999994,neutral
66,2021-04-09,47.5,neutral
67,2021-04-12,43.43333333333334,fear
68,2021-04-13,43.63333333333333,fear
69,2021-04-14,39.96666666666667,fear
70,2021-04-15,47.16666666666668,neutral
71,2021-04-16,51.300000000000004,neutral
72,2021-04-19,45.26666666666667,neutral
73,2021-04-20,42.866666666666674,fear
74,2021-04-21,49.63333333333333,neutral
75,2021-04-22,46.70000000000001,neutral
76,2021-04-23,47.699999999999996,neutral
77,2021-04-26,50.53333333333334,neutral
78,2021-04-27,54.800000000000004,neutral
79,2021-04-28,52.400000000000006,neutral
80,2021-04-29,56.166666666666664,greed
81,2021-04-30,46.53333333333333,neutral
82,2021-05-03,47.56666666666667,neutral
83,2021-05-04,43.46666666666667,fear
84,2021-05-05,43.03333333333333,fear
85,2021-05-06,43.93333333333334,fear
86,2021-05-07,48.166666666666664,neutral
87,2021-05-10,44.93333333333334,fear
88,2021-05-11,42.03333333333334,fear
89,2021-05-12,26.766666666666666,fear
90,2021-05-13,34.433333333333344,fear
91,2021-05-14,35.99999999999999,fear
92,2021-05-17,36.36666666666667,fear
93,2021-05-18,34.03333333333334,fear
94,2021-05-19,32.333333333333336,fear
95,2021-05-20,32.300000000000004,fear
96,2021-05-21,29.433333333333334,fear
97,2021-05-24,29.5,fear
98,2021-05-25,26.66666666666667,fear
99,2021-05-26,28.133333333333336,fear
100,2021-05-27,30.3,fear
101,2021-05-28,31.566666666666666,fear
102,2021-06-01,35.4,fear
103,2021-06-02,42.13333333333333,fear
104,2021-06-03,40.800000000000004,fear
105,2021-06-04,41.9,fear
106,2021-06-07,44.46666666666667,fear
107,2021-06-08,46.46666666666667,neutral
108,2021-06-09,48.53333333333333,neutral
109,2021-06-10,48.9,neutral
110,2021-06-11,51.23333333333334,neutral
111,2021-06-14,54.166666666666664,neutral
112,2021-06-15,52.666666666666664,neutral
113,2021-06-16,44.800000000000004,fear
114,2021-06-17,42.03333333333334,fear
115,2021-06-18,31.600000000000005,fear
116,2021-06-21,32.46666666666666,fear
117,2021-06-22,32.800000000000004,fear
118,2021-06-23,33.26666666666667,fear
119,2021-06-24,36.9,fear
120,2021-06-25,41.63333333333333,fear
121,2021-06-28,41.43333333333334,fear
122,2021-06-29,39.833333333333336,fear
123,2021-06-30,38.00000000000001,fear
124,2021-07-01,38.666666666666664,fear
125,2021-07-02,38.66666666666667,fear
126,2021-07-06,33.300000000000004,fear
127,2021-07-07,33.1,fear
128,2021-07-08,26.96666666666667,fear
129,2021-07-09,31.000000000000004,fear
130,2021-07-12,31.7,fear
131,2021-07-13,31.266666666666666,fear
132,2021-07-14,29.533333333333335,fear
133,2021-07-15,27.33333333333334,fear
134,2021-07-16,26.900000000000002,fear
135,2021-07-19,8.983333333333334,extreme fear
136,2021-07-20,20.066666666666666,extreme fear
137,2021-07-21,24.2,extreme fear
138,2021-07-22,24.333333333333332,extreme fear
139,2021-07-23,28.299999999999997,fear
140,2021-07-26,30.900000000000002,fear
141,2021-07-27,27.166666666666668,fear
142,2021-07-28,27.46666666666667,fear
143,2021-07-29,29.233333333333334,fear
144,2021-07-30,25.76666666666667,fear
145,2021-08-02,25.099999999999998,fear
146,2021-08-03,29.533333333333335,fear
147,2021-08-04,28.633333333333336,fear
148,2021-08-05,29.633333333333336,fear
149,2021-08-06,31.866666666666664,fear
150,2021-08-09,32.06666666666667,fear
151,2021-08-10,34.833333333333336,fear
152,2021-08-11,37.93333333333334,fear
153,2021-08-12,43.13333333333333,fear
154,2021-08-13,47.13333333333333,neutral
155,2021-08-16,44.866666666666674,fear
156,2021-08-17,31.7,fear
157,2021-08-18,18.2,extreme fear
158,2021-08-19,14.883333333333335,extreme fear
159,2021-08-20,23.86666666666667,extreme fear
160,2021-08-23,30.433333333333334,fear
161,2021-08-24,34.4,fear
162,2021-08-25,36.03333333333333,fear
163,2021-08-26,36.833333333333336,fear
164,2021-08-27,47.46666666666667,neutral
165,2021-08-30,47.86666666666667,neutral
166,2021-08-31,47.23333333333333,neutral
167,2021-09-01,43.13333333333333,fear
168,2021-09-02,44.166666666666664,fear
169,2021-09-03,44.06666666666666,fear
170,2021-09-07,41.7,fear
171,2021-09-08,38.56666666666667,fear
172,2021-09-09,33.800000000000004,fear
173,2021-09-10,20.600000000000005,extreme fear
174,2021-09-13,28.266666666666666,fear
175,2021-09-14,24.8,extreme fear
176,2021-09-15,31.200000000000003,fear
177,2021-09-16,31.500000000000004,fear
178,2021-09-17,17.933333333333337,extreme fear
179,2021-09-20,11.100000000000001,extreme fear
180,2021-09-21,11.449999999999998,extreme fear
181,2021-09-22,20.033333333333335,extreme fear
182,2021-09-23,24.5,extreme fear
183,2021-09-24,23.83333333333334,extreme fear
184,2021-09-27,24.766666666666666,extreme fear
185,2021-09-28,12.466666666666669,extreme fear
186,2021-09-29,12.483333333333334,extreme fear
187,2021-09-30,9.966666666666667,extreme fear
188,2021-10-01,18.333333333333332,extreme fear
189,2021-10-04,9.500000000000002,extreme fear
190,2021-10-05,18.766666666666666,extreme fear
191,2021-10-06,20.066666666666666,extreme fear
192,2021-10-07,24.600000000000005,extreme fear
193,2021-10-08,25.26666666666667,fear
194,2021-10-11,25.900000000000002,fear
195,2021-10-12,22.7,extreme fear
196,2021-10-13,24.100000000000005,extreme fear
197,2021-10-14,31.833333333333332,fear
198,2021-10-15,43.63333333333333,fear
199,2021-10-18,46.56666666666666,neutral
200,2021-10-19,53.400000000000006,neutral
201,2021-10-20,56.56666666666667,greed
202,2021-10-21,60.199999999999996,greed
203,2021-10-22,59.5,greed
204,2021-10-25,62.96666666666667,greed
205,2021-10-26,63.03333333333334,greed
206,2021-10-27,58.333333333333336,greed
207,2021-10-28,64.4,greed
208,2021-10-29,65.43333333333334,greed
209,2021-11-01,66.13333333333334,greed
210,2021-11-02,68.26666666666667,greed
211,2021-11-03,72.2,greed
212,2021-11-04,72.43333333333334,greed
213,2021-11-05,73.60000000000001,greed
214,2021-11-08,74.53333333333335,greed
215,2021-11-09,77.17142857142858,extreme greed
216,2021-11-10,73.08571428571429,greed
217,2021-11-11,72.22857142857143,greed
218,2021-11-12,74.0,greed
219,2021-11-15,71.62857142857145,greed
220,2021-11-16,72.48571428571428,greed
221,2021-11-17,69.2,greed
222,2021-11-18,70.14285714285715,greed
223,2021-11-19,62.77142857142859,greed
224,2021-11-22,60.0,greed
225,2021-11-23,60.371428571428574,greed
226,2021-11-24,56.94285714285714,greed
227,2021-11-26,31.25714285714286,fear
228,2021-11-29,38.114285714285714,fear
229,2021-11-30,24.771428571428572,extreme fear
230,2021-12-01,25.357142857142858,fear
231,2021-12-02,22.928571428571427,extreme fear
232,2021-12-03,20.157142857142862,extreme fear
233,2021-12-06,21.25714285714286,extreme fear
234,2021-12-07,37.88571428571429,fear
235,2021-12-08,41.314285714285724,fear
236,2021-12-09,36.85714285714287,fear
237,2021-12-10,42.0,fear
238,2021-12-13,35.4,fear
239,2021-12-14,31.542857142857144,fear
240,2021-12-15,37.800000000000004,fear
241,2021-12-16,33.57142857142858,fear
242,2021-12-17,32.51428571428572,fear
243,2021-12-20,29.428571428571427,fear
244,2021-12-21,34.028571428571425,fear
245,2021-12-22,39.542857142857144,fear
246,2021-12-23,50.48571428571428,neutral
247,2021-12-27,56.39999999999999,greed
248,2021-12-28,62.971428571428575,greed
249,2021-12-29,64.02857142857144,greed
250,2021-12-30,63.97142857142858,greed
251,2021-12-31,62.54285714285715,greed
252,2022-01-03,65.22857142857144,greed
253,2022-01-04,64.25714285714285,greed
254,2022-01-05,51.02857142857143,neutral
255,2022-01-06,52.142857142857146,neutral
256,2022-01-07,49.25714285714287,neutral
257,2022-01-10,51.142857142857146,neutral
258,2022-01-11,56.114285714285714,greed
259,2022-01-12,55.94285714285714,greed
260,2022-01-13,52.17142857142857,neutral
261,2022-01-14,55.800000000000004,greed
262,2022-01-18,53.714285714285715,neutral
263,2022-01-19,44.82857142857143,fear
264,2022-01-20,39.142857142857146,fear
265,2022-01-21,26.728571428571428,fear
266,2022-01-24,23.128571428571433,extreme fear
267,2022-01-25,20.88571428571429,extreme fear
268,2022-01-26,19.514285714285716,extreme fear
269,2022-01-27,18.6,extreme fear
270,2022-01-28,23.857142857142858,extreme fear
271,2022-01-31,29.200000000000006,fear
272,2022-02-01,30.800000000000004,fear
273,2022-02-02,28.800000000000004,fear
274,2022-02-03,26.057142857142857,fear
275,2022-02-04,27.6,fear
276,2022-02-07,27.914285714285715,fear
277,2022-02-08,28.942857142857143,fear
278,2022-02-09,32.65714285714286,fear
279,2022-02-10,33.6,fear
280,2022-02-11,28.48571428571429,fear
281,2022-02-14,25.685714285714287,fear
282,2022-02-15,29.97142857142857,fear
283,2022-02-16,32.08571428571428,fear
284,2022-02-17,32.457142857142856,fear
285,2022-02-18,29.514285714285716,fear
286,2022-02-22,28.771428571428572,fear
287,2022-02-23,18.814285714285713,extreme fear
288,2022-02-24,21.228571428571428,extreme fear
289,2022-02-25,28.142857142857142,fear
290,2022-02-28,25.47142857142857,fear
291,2022-03-01,22.97142857142857,extreme fear
292,2022-03-02,17.82857142857143,extreme fear
293,2022-03-03,21.72857142857143,extreme fear
294,2022-03-04,18.17142857142857,extreme fear
295,2022-03-07,16.9,extreme fear
296,2022-03-08,16.67142857142857,extreme fear
297,2022-03-09,18.028571428571432,extreme fear
298,2022-03-10,17.95714285714286,extreme fear
299,2022-03-11,19.057142857142857,extreme fear
300,2022-03-14,17.5,extreme fear
301,2022-03-15,21.857142857142858,extreme fear
302,2022-03-16,25.25714285714286,fear
303,2022-03-17,33.62857142857143,fear
304,2022-03-18,38.42857142857143,fear
305,2022-03-21,40.971428571428575,fear
306,2022-03-22,44.542857142857144,fear
307,2022-03-23,45.199999999999996,neutral
308,2022-03-24,46.91428571428571,neutral
309,2022-03-25,49.371428571428574,neutral
310,2022-03-28,51.25714285714286,neutral
311,2022-03-29,52.714285714285715,neutral
312,2022-03-30,52.800000000000004,neutral
313,2022-03-31,59.199999999999996,greed
314,2022-04-01,59.800000000000004,greed
315,2022-04-04,61.65714285714286,greed
316,2022-04-05,47.91428571428571,neutral
317,2022-04-06,46.4,neutral
318,2022-04-07,46.82857142857142,neutral
319,2022-04-08,46.08571428571429,neutral
320,2022-04-11,43.4,fear
321,2022-04-12,42.05714285714286,fear
322,2022-04-13,41.800000000000004,fear
323,2022-04-14,39.857142857142854,fear
324,2022-04-18,37.6,fear
325,2022-04-19,39.628571428571426,fear
326,2022-04-20,43.31428571428571,fear
327,2022-04-21,38.94285714285714,fear
328,2022-04-22,31.62857142857143,fear
329,2022-04-25,29.97142857142857,fear
330,2022-04-26,17.900000000000002,extreme fear
331,2022-04-27,16.271428571428572,extreme fear
332,2022-04-28,24.25714285714286,extreme fear
333,2022-04-29,14.328571428571427,extreme fear
334,2022-05-02,13.27142857142857,extreme fear
335,2022-05-03,30.485714285714288,fear
336,2022-05-04,22.400000000000002,extreme fear
337,2022-05-05,13.128571428571432,extreme fear
338,2022-05-06,12.242857142857146,extreme fear
339,2022-05-09,8.185714285714285,extreme fear
340,2022-05-10,7.4,extreme fear
341,2022-05-11,4.028571428571429,extreme fear
342,2022-05-12,3.2,extreme fear
343,2022-05-13,11.285714285714286,extreme fear
344,2022-05-16,11.742857142857144,extreme fear
345,2022-05-17,15.200000000000001,extreme fear
346,2022-05-18,6.6000000000000005,extreme fear
347,2022-05-19,13.714285714285714,extreme fear
348,2022-05-20,12.657142857142858,extreme fear
349,2022-05-23,17.885714285714283,extreme fear
350,2022-05-24,16.0,extreme fear
351,2022-05-25,17.571428571428573,extreme fear
352,2022-05-26,24.114285714285717,extreme fear
353,2022-05-27,29.542857142857144,fear
354,2022-05-31,40.057142857142864,fear
355,2022-06-01,40.60000000000001,fear
356,2022-06-02,44.82857142857143,fear
357,2022-06-03,35.45714285714286,fear
358,2022-06-06,42.800000000000004,fear
359,2022-06-07,45.62857142857143,neutral
360,2022-06-08,48.11428571428571,neutral
361,2022-06-09,47.05714285714286,neutral
362,2022-06-10,40.00000000000001,fear
363,2022-06-13,25.085714285714293,fear
364,2022-06-14,20.528571428571432,extreme fear
365,2022-06-15,29.25714285714286,fear
366,2022-06-16,17.700000000000003,extreme fear
367,2022-06-17,16.92857142857143,extreme fear
368,2022-06-21,19.728571428571428,extreme fear
369,2022-06-22,26.885714285714283,fear
370,2022-06-23,26.742857142857144,fear
371,2022-06-24,30.85714285714286,fear
372,2022-06-27,30.771428571428572,fear
373,2022-06-28,28.142857142857142,fear
374,2022-06-29,26.542857142857144,fear
375,2022-06-30,24.371428571428574,extreme fear
376,2022-07-01,24.571428571428573,extreme fear
377,2022-07-05,22.171428571428574,extreme fear
378,2022-07-06,22.828571428571426,extreme fear
379,2022-07-07,27.599999999999998,fear
380,2022-07-08,31.342857142857145,fear
381,2022-07-11,30.37142857142857,fear
382,2022-07-12,30.314285714285713,fear
383,2022-07-13,27.28571428571428,fear
384,2022-07-14,26.514285714285716,fear
385,2022-07-15,33.285714285714285,fear
386,2022-07-18,35.885714285714286,fear
387,2022-07-19,39.31428571428571,fear
388,2022-07-20,44.08571428571429,fear
389,2022-07-21,48.199999999999996,neutral
390,2022-07-22,42.42857142857143,fear
391,2022-07-25,42.2,fear
392,2022-07-26,42.0,fear
393,2022-07-27,46.628571428571426,neutral
394,2022-07-28,48.48571428571429,neutral
395,2022-07-29,52.4,neutral
396,2022-08-01,59.08571428571429,greed
397,2022-08-02,57.371428571428574,greed
398,2022-08-03,60.25714285714286,greed
399,2022-08-04,61.51428571428571,greed
400,2022-08-05,63.314285714285724,greed
401,2022-08-08,64.74285714285715,greed
402,2022-08-09,64.45714285714286,greed
403,2022-08-10,65.11428571428571,greed
404,2022-08-11,65.82857142857144,greed
405,2022-08-12,68.02857142857144,greed
406,2022-08-15,66.82857142857144,greed
407,2022-08-16,67.94285714285715,greed
408,2022-08-17,67.14285714285715,greed
409,2022-08-18,66.37142857142858,greed
410,2022-08-19,63.714285714285715,greed
411,2022-08-22,60.314285714285724,greed
412,2022-08-23,57.42857142857144,greed
413,2022-08-24,57.51428571428571,greed
414,2022-08-25,58.25714285714287,greed
415,2022-08-26,55.74285714285714,greed
416,2022-08-29,54.285714285714285,neutral
417,2022-08-30,49.800000000000004,neutral
418,2022-08-31,52.08571428571429,neutral
419,2022-09-01,49.371428571428574,neutral
420,2022-09-02,42.457142857142856,fear
421,2022-09-06,40.62857142857143,fear
422,2022-09-07,39.62857142857143,fear
423,2022-09-08,40.371428571428574,fear
424,2022-09-09,43.8,fear
425,2022-09-12,47.6,neutral
426,2022-09-13,36.62857142857143,fear
427,2022-09-14,41.885714285714286,fear
428,2022-09-15,40.65714285714286,fear
429,2022-09-16,35.285714285714285,fear
430,2022-09-19,36.31428571428571,fear
431,2022-09-20,36.114285714285714,fear
432,2022-09-21,27.21428571428571,fear
433,2022-09-22,24.48571428571429,extreme fear
434,2022-09-23,21.685714285714287,extreme fear
435,2022-09-26,17.62857142857143,extreme fear
436,2022-09-27,16.514285714285716,extreme fear
437,2022-09-28,17.02857142857143,extreme fear
438,2022-09-29,13.257142857142858,extreme fear
439,2022-09-30,16.45714285714286,extreme fear
440,2022-10-03,20.38571428571429,extreme fear
441,2022-10-04,27.88571428571429,fear
442,2022-10-05,29.714285714285715,fear
443,2022-10-06,23.142857142857142,extreme fear
444,2022-10-07,19.67142857142857,extreme fear
445,2022-10-10,19.4,extreme fear
446,2022-10-11,16.885714285714283,extreme fear
447,2022-10-12,15.942857142857145,extreme fear
448,2022-10-13,19.37142857142857,extreme fear
449,2022-10-14,16.45714285714286,extreme fear
450,2022-10-17,23.400000000000002,extreme fear
451,2022-10-18,28.800000000000004,fear
452,2022-10-19,29.428571428571427,fear
453,2022-10-20,39.08571428571429,fear
454,2022-10-21,43.74285714285715,fear
455,2022-10-24,47.22857142857142,neutral
456,2022-10-25,51.371428571428574,neutral
457,2022-10-26,53.800000000000004,neutral
458,2022-10-27,54.57142857142857,neutral
459,2022-10-28,57.114285714285714,greed
460,2022-10-31,64.05714285714286,greed
461,2022-11-01,63.51428571428572,greed
462,2022-11-02,55.285714285714285,greed
463,2022-11-03,55.51428571428572,greed
464,2022-11-04,56.51428571428572,greed
465,2022-11-07,59.65714285714286,greed
466,2022-11-08,57.94285714285714,greed
467,2022-11-09,54.0,neutral
468,2022-11-10,60.34285714285714,greed
469,2022-11-11,63.74285714285713,greed
470,2022-11-14,62.68571428571429,greed
471,2022-11-15,66.91428571428573,greed
472,2022-11-16,65.08571428571427,greed
473,2022-11-17,61.48571428571429,greed
474,2022-11-18,60.34285714285715,greed
475,2022-11-21,60.97142857142857,greed
476,2022-11-22,60.8,greed
477,2022-11-23,64.25714285714285,greed
478,2022-11-25,63.08571428571429,greed
479,2022-11-28,59.74285714285715,greed
480,2022-11-29,58.17142857142857,greed
481,2022-11-30,73.97142857142856,greed
482,2022-12-01,75.60000000000001,extreme greed
483,2022-12-02,68.14285714285714,greed
484,2022-12-05,65.08571428571429,greed
485,2022-12-06,61.828571428571436,greed
486,2022-12-07,58.42857142857143,greed
487,2022-12-08,55.6857142857143,greed
488,2022-12-09,52.08571428571428,neutral
489,2022-12-12,57.199999999999996,greed
490,2022-12-13,59.17142857142858,greed
491,2022-12-14,60.94285714285714,greed
492,2022-12-15,60.142857142857146,greed
493,2022-12-16,44.142857142857146,fear
494,2022-12-19,39.971428571428575,fear
495,2022-12-20,38.314285714285724,fear
496,2022-12-21,38.542857142857144,fear
497,2022-12-22,37.0,fear
498,2022-12-23,39.51428571428572,fear
499,2022-12-27,39.94285714285714,fear
500,2022-12-28,35.51428571428572,fear
501,2022-12-29,37.142857142857146,fear
502,2022-12-30,36.51428571428571,fear
503,2023-01-03,36.6,fear
504,2023-01-04,39.857142857142854,fear
505,2023-01-05,44.17142857142858,fear
506,2023-01-06,45.714285714285715,neutral
507,2023-01-09,47.2,neutral
508,2023-01-10,49.65714285714286,neutral
509,2023-01-11,54.228571428571435,neutral
510,2023-01-12,56.68571428571429,greed
511,2023-01-13,61.31428571428571,greed
512,2023-01-17,64.14285714285714,greed
513,2023-01-18,58.42857142857143,greed
514,2023-01-19,55.42857142857144,greed
515,2023-01-20,58.542857142857144,greed
516,2023-01-23,63.60000000000001,greed
517,2023-01-24,63.0,greed
518,2023-01-25,63.88571428571429,greed
519,2023-01-26,68.02857142857144,greed
520,2023-01-27,69.2,greed
521,2023-01-30,67.45714285714287,greed
522,2023-01-31,70.34285714285716,greed
523,2023-02-01,82.17142857142858,extreme greed
524,2023-02-02,75.2,extreme greed
525,2023-02-03,76.14285714285714,extreme greed
526,2023-02-06,75.91428571428573,extreme greed
527,2023-02-07,76.34285714285714,extreme greed
528,2023-02-08,74.62857142857142,greed
529,2023-02-09,72.62857142857143,greed
530,2023-02-10,72.4857142857143,greed
531,2023-02-13,71.82857142857144,greed
532,2023-02-14,73.25714285714287,greed
533,2023-02-15,73.65714285714284,greed
534,2023-02-16,70.71428571428572,greed
535,2023-02-17,69.48571428571428,greed
536,2023-02-21,65.91428571428573,greed
537,2023-02-22,64.17142857142859,greed
538,2023-02-23,62.65714285714285,greed
539,2023-02-24,60.65714285714286,greed
540,2023-02-27,61.22857142857144,greed
541,2023-02-28,61.2,greed
542,2023-03-01,65.91428571428573,greed
543,2023-03-02,52.45714285714287,neutral
544,2023-03-03,55.6857142857143,greed
545,2023-03-06,55.25714285714285,greed
546,2023-03-07,48.51428571428571,neutral
547,2023-03-08,49.82857142857143,neutral
548,2023-03-09,37.542857142857144,fear
549,2023-03-10,26.885714285714283,fear
550,2023-03-13,23.357142857142858,extreme fear
551,2023-03-14,25.085714285714285,fear
552,2023-03-15,22.685714285714287,extreme fear
553,2023-03-16,32.57142857142857,fear
554,2023-03-17,27.000000000000004,fear
555,2023-03-20,30.428571428571434,fear
556,2023-03-21,43.48571428571429,fear
557,2023-03-22,41.028571428571425,fear
558,2023-03-23,38.34285714285715,fear
559,2023-03-24,37.714285714285715,fear
560,2023-03-27,40.199999999999996,fear
561,2023-03-28,39.6,fear
562,2023-03-29,41.457142857142856,fear
563,2023-03-30,45.228571428571435,neutral
564,2023-03-31,49.48571428571429,neutral
565,2023-04-03,61.48571428571428,greed
566,2023-04-04,50.228571428571435,neutral
567,2023-04-05,52.62857142857143,neutral
568,2023-04-06,55.25714285714286,greed
569,2023-04-10,57.91428571428572,greed
570,2023-04-11,58.48571428571428,greed
571,2023-04-12,60.74285714285714,greed
572,2023-04-13,63.171428571428564,greed
573,2023-04-14,65.71428571428571,greed
574,2023-04-17,67.08571428571429,greed
575,2023-04-18,65.4857142857143,greed
576,2023-04-19,67.25714285714287,greed
577,2023-04-20,64.05714285714285,greed
578,2023-04-21,63.51428571428572,greed
579,2023-04-24,63.48571428571429,greed
580,2023-04-25,57.057142857142864,greed
581,2023-04-26,52.4,neutral
582,2023-04-27,58.314285714285724,greed
583,2023-04-28,59.42857142857143,greed
584,2023-05-01,59.42857142857144,greed
585,2023-05-02,55.51428571428572,greed
586,2023-05-03,54.62857142857143,neutral
587,2023-05-04,49.6,neutral
588,2023-05-05,53.885714285714286,neutral
